State,Year,Quarter,Month,median wages
Johor,2022,Q1,Jan,2344
Kedah,2022,Q1,Jan,1700
Kelantan,2022,Q1,Jan,1422
Melaka,2022,Q1,Jan,2267
Negeri Sembilan,2022,Q1,Jan,2127
Pahang,2022,Q1,Jan,1811
Perak,2022,Q1,Jan,2000
Perlis,2022,Q1,Jan,1467
Pulau Pinang,2022,Q1,Jan,2678
Sabah,2022,Q1,Jan,1667
Sarawak ,2022,Q1,Jan,1964
Selangor,2022,Q1,Jan,2944
Terengganu,2022,Q1,Jan,1682
W.P Kuala Lumpur,2022,Q1,Jan,3822
W.P Labuan,2022,Q1,Jan,1827
W.P Putrajaya,2022,Q1,Jan,2322
Johor,2022,Q1,Feb,2089
Kedah,2022,Q1,Feb,1600
Kelantan,2022,Q1,Feb,1389
Melaka,2022,Q1,Feb,2044
Negeri Sembilan,2022,Q1,Feb,2000
Pahang,2022,Q1,Feb,1745
Perak,2022,Q1,Feb,1764
Perlis,2022,Q1,Feb,1400
Pulau Pinang,2022,Q1,Feb,2344
Sabah,2022,Q1,Feb,1564
Sarawak ,2022,Q1,Feb,1800
Selangor,2022,Q1,Feb,2700
Terengganu,2022,Q1,Feb,1645
W.P Kuala Lumpur,2022,Q1,Feb,3600
W.P Labuan,2022,Q1,Feb,1764
W.P Putrajaya,2022,Q1,Feb,2289
Johor,2022,Q1,Mar,2100
Kedah,2022,Q1,Mar,1600
Kelantan,2022,Q1,Mar,1400
Melaka,2022,Q1,Mar,2027
Negeri Sembilan,2022,Q1,Mar,2082
Pahang,2022,Q1,Mar,1800
Perak,2022,Q1,Mar,1800
Perlis,2022,Q1,Mar,1400
Pulau Pinang,2022,Q1,Mar,2382
Sabah,2022,Q1,Mar,1567
Sarawak ,2022,Q1,Mar,1800
Selangor,2022,Q1,Mar,2700
Terengganu,2022,Q1,Mar,1667
W.P Kuala Lumpur,2022,Q1,Mar,3700
W.P Labuan,2022,Q1,Mar,1789
W.P Putrajaya,2022,Q1,Mar,2564
Johor,2022,Q2,Apr,2200
Kedah,2022,Q2,Apr,1633
Kelantan,2022,Q2,Apr,1444
Melaka,2022,Q2,Apr,2122
Negeri Sembilan,2022,Q2,Apr,2064
Pahang,2022,Q2,Apr,1864
Perak,2022,Q2,Apr,1800
Perlis,2022,Q2,Apr,1422
Pulau Pinang,2022,Q2,Apr,2467
Sabah,2022,Q2,Apr,1622
Sarawak ,2022,Q2,Apr,1845
Selangor,2022,Q2,Apr,2827
Terengganu,2022,Q2,Apr,1733
W.P Kuala Lumpur,2022,Q2,Apr,3867
W.P Labuan,2022,Q2,Apr,1800
W.P Putrajaya,2022,Q2,Apr,2344
Johor,2022,Q2,May,2182
Kedah,2022,Q2,May,1700
Kelantan,2022,Q2,May,1500
Melaka,2022,Q2,May,2167
Negeri Sembilan,2022,Q2,May,2067
