"Aktiviti Ekonomi
Economic Activity",Year,Total,STEM Classification
"Pertanian
Agriculture",2020,63800.0,STEM
"Perlombongan dan pengkuarian
Mining and quarrying",2020,41400.0,STEM
"Pembuatan - Minyak dan lemak daripada sayuran & haiwan dan prosesan makanan
Vegetable and animal oils & fats and food processing",2020,87800.0,STEM
"Pembuatan - Minuman dan produk tembakau
Beverages and tobacco products",2020,6600.0,STEM
"Pembuatan - Produk tekstil, pakaian dan kulit
Textiles, wearing apparel and leather products",2020,22900.0,STEM
"Pembuatan - Produk kayu, perabot, keluaran kertas dan percetakan
Wood products, furniture, paper products and printing",2020,53100.0,STEM
"Pembuatan - Produk petroleum, kimia, getah dan plastik
Petroleum, chemical, rubber and plastic products",2020,79300.0,STEM
"Pembuatan - Produk mineral bukan logam, logam asas dan produk logam yang direka
Non-metallic mineral products, basic metal and fabricated metal products",2020,57000,STEM
"Pembuatan - Produk elektrik, elektronik dan optikal
Electrical, electronic and optical products",2020,211200.0,STEM
"Pembuatan - Peralatan pengangkutan, pembuatan lain dan pembaikan
Transport equipment, other manufacturing and repair",2020,61500.0,STEM
"Pembinaan
Construction",2020,237400.0,Non-STEM
"Perkhidmatan - Utiliti
Utilities",2020,41700.0,Non-STEM
"Perkhidmatan - Perdagangan borong dan runcit
Wholesale and retail trade",2020,486600.0,Non-STEM
"Perkhidmatan - Makanan & minuman dan penginapan
Food & beverages and accommodation",2020,202100.0,Non-STEM
"Perkhidmatan - Pengangkutan dan penyimpanan
Transportation and storage",2020,128300.00000000001,Non-STEM
"Perkhidmatan - Maklumat dan komunikasi
Information and communication",2020,168900.0,Non-STEM
"Perkhidmatan - Kewangan dan insurans
Finance and insurance",2020,230900.0,Non-STEM
"Perkhidmatan - Hartanah dan perkhidmatan perniagaan
Real estate and business services",2020,455400.0,Non-STEM
"Perkhidmatan - Perkhidmatan lain
Other services",2020,1416900.0,Non-STEM
"Pertanian
Agriculture",2021,56700.0,STEM
"Perlombongan dan pengkuarian
Mining and quarrying",2021,39200.0,STEM
"Pembuatan - Minyak dan lemak daripada sayuran & haiwan dan prosesan makanan
Vegetable and animal oils & fats and food processing",2021,81500.0,STEM
