"Sektor
Sectors",Year,Total
"Pertanian
Agriculture",2020,2311
"Perlombongan dan pengkuarian
Mining and quarrying",2020,5426
"Pembuatan
Manufacturing",2020,2969
"Pembinaan
Construction",2020,3174
"Perkhidmatan
Services",2020,4044
"Pertanian
Agriculture",2021,2434
"Perlombongan dan pengkuarian
Mining and quarrying",2021,5651
"Pembuatan
Manufacturing",2021,3131
"Pembinaan
Construction",2021,3329
"Perkhidmatan
Services",2021,4291
"Pertanian
Agriculture",2022,2396
"Perlombongan dan pengkuarian
Mining and quarrying",2022,6364
"Pembuatan
Manufacturing",2022,3376
"Pembinaan
Construction",2022,3670
"Perkhidmatan
Services",2022,4584
"Pertanian
Agriculture",2023,2513
"Perlombongan dan pengkuarian
Mining and quarrying",2023,6527
"Pembuatan
Manufacturing",2023,3434
"Pembinaan
Construction",2023,3838
"Perkhidmatan
Services",2023,4944
