"Sebab Tidak Mencari Pekerjaan
Reasons For Not Seeking Work",Year,Total
"Bersekolah/ masih belajar/ program latihan
Schooling/ training programme",2020,222700.0
"Kerja rumah/ tanggungjawab keluarga
Housework/ family responsibilities",2020,301000
"Akan melanjutkan pelajaran
Going for further studies",2020,9000
"Hilang upaya
Disabled",2020,15200.0
"Tidak minat/ baru tamat belajar
Not interested/ just completed study",2020,8800.0
"Sudah bersara/ lanjut usia
Retired/ Old age",2020,189100.0
"Bersekolah/ masih belajar/ program latihan
Schooling/ training programme",2021,236700.0
"Kerja rumah/ tanggungjawab keluarga
Housework/ family responsibilities",2021,269100.0
"Akan melanjutkan pelajaran
Going for further studies",2021,44800.0
"Hilang upaya
Disabled",2021,39600.0
"Tidak minat/ baru tamat belajar
Not interested/ just completed study",2021,4800.0
"Sudah bersara/ lanjut usia
Retired/ Old age",2021,189700.0
"Bersekolah/ masih belajar/ program latihan
Schooling/ training programme",2022,262900.0
"Kerja rumah/ tanggungjawab keluarga
Housework/ family responsibilities",2022,273600.0
"Akan melanjutkan pelajaran
Going for further studies",2022,19800.0
"Hilang upaya
Disabled",2022,10200.0
"Tidak minat/ baru tamat belajar
Not interested/ just completed study",2022,11300.0
"Sudah bersara/ lanjut usia
Retired/ Old age",2022,225100.0
"Bersekolah/ masih belajar/ program latihan
Schooling/ training programme",2023,251100.0
"Kerja rumah/ tanggungjawab keluarga
Housework/ family responsibilities",2023,283000
"Akan melanjutkan pelajaran
Going for further studies",2023,18600.0
"Hilang upaya
Disabled",2023,14800.0
"Tidak minat/ baru tamat belajar
Not interested/ just completed study",2023,22500.0
"Sudah bersara/ lanjut usia
Retired/ Old age",2023,230100.0
