"Negeri
State",Year,Total
Johor,2020,3730
Kedah,2020,2976
Kelantan,2020,3716
Melaka,2020,3332
Negeri Sembilan,2020,3540
Pahang,2020,3751
Pulau Pinang,2020,3401
Perak,2020,3319
Perlis,2020,3978
Selangor,2020,3975
Terengganu,2020,3115
Sabah,2020,3531
Sarawak,2020,3816
W.P. Kuala Lumpur,2020,4856
W.P. Labuan,2020,3437
Johor,2021,3932
Kedah,2021,3182
Kelantan,2021,3948
Melaka,2021,3552
Negeri Sembilan,2021,3744
Pahang,2021,3984
Pulau Pinang,2021,3663
Perak,2021,3486
Perlis,2021,4235
Selangor,2021,4224
Terengganu,2021,3270
Sabah,2021,3686
Sarawak,2021,3971
W.P. Kuala Lumpur,2021,5164
W.P. Labuan,2021,3602
Johor,2022,4050
Kedah,2022,3385
Kelantan,2022,3764
Melaka,2022,3954
Negeri Sembilan,2022,4175
Pahang,2022,4218
Pulau Pinang,2022,3955
Perak,2022,3886
Perlis,2022,4330
Selangor,2022,4734
Terengganu,2022,3656
Sabah,2022,4079
Sarawak,2022,4376
W.P. Kuala Lumpur,2022,5270
W.P. Labuan,2022,3758
Johor,2023,4247
Kedah,2023,3541
Kelantan,2023,3985
Melaka,2023,4084
Negeri Sembilan,2023,4194
Pahang,2023,4580
Pulau Pinang,2023,4102
Perak,2023,4160
Perlis,2023,4522
Selangor,2023,4792
Terengganu,2023,3867
Sabah,2023,4219
Sarawak,2023,4502
W.P. Kuala Lumpur,2023,5694
W.P. Labuan,2023,3802
