"Tempoh Menganggur
Duration of Unemployment",Year,Total
"Penganggur aktif - Kurang dari 3 bulan
Less than 3 months",2020,66900.0
"Penganggur aktif - 3 bulan - kurang dari 6 bulan
3 months - less than 6 months",2020,45000
"Penganggur aktif - 6 bulan - kurang dari 1 tahun
6 months - less than 1 year",2020,22200.0
"Penganggur aktif - Lebih dari 1 tahun
More than 1 year",2020,14600.0
"Penganggur tidak aktif
Inactive unemployed",2020,39800.0
"Penganggur aktif - Kurang dari 3 bulan
Less than 3 months",2021,52000
"Penganggur aktif - 3 bulan - kurang dari 6 bulan
3 months - less than 6 months",2021,47400.0
"Penganggur aktif - 6 bulan - kurang dari 1 tahun
6 months - less than 1 year",2021,20800.0
"Penganggur aktif - Lebih dari 1 tahun
More than 1 year",2021,14200.0
"Penganggur tidak aktif
Inactive unemployed",2021,50800.0
"Penganggur aktif - Kurang dari 3 bulan
Less than 3 months",2022,72600.0
"Penganggur aktif - 3 bulan - kurang dari 6 bulan
3 months - less than 6 months",2022,42200.0
"Penganggur aktif - 6 bulan - kurang dari 1 tahun
6 months - less than 1 year",2022,19800.0
"Penganggur aktif - Lebih dari 1 tahun
More than 1 year",2022,10800.0
"Penganggur tidak aktif
Inactive unemployed",2022,29400.0
"Penganggur aktif - Kurang dari 3 bulan
Less than 3 months",2023,84200.0
"Penganggur aktif - 3 bulan - kurang dari 6 bulan
3 months - less than 6 months",2023,39600.0
"Penganggur aktif - 6 bulan - kurang dari 1 tahun
6 months - less than 1 year",2023,12100.0
"Penganggur aktif - Lebih dari 1 tahun
More than 1 year",2023,9600.0
"Penganggur tidak aktif
Inactive unemployed",2023,21900.0
